bill_id,state,year,cluster_id,confidence,keywords,mga_topic
1835666,MD,2024,21,0.9481,"health, care, program, services, department",administrative agencies; medical treatments; genetics; medical testing and diagnosis; medical research; complementary and alternative medicine; covid–19; dental health; health maintenance organizations; home care services; reproductive matters; health care facilities; health planning and cost review; health supplements; hospices; hospitals; immunization; managed care organizations; medical assistance; medical technology; mental and behavioral health; pandemics; rehabilitation; smoking and vaping; substance abuse; substance abuse treatment; uncompensated care; universal health care; vision health
1838054,MD,2024,2,0.9464,"procurement, tax, county, law, services",plans and proposals; contracts; minority business enterprises
1847559,MD,2024,26,0.9623,"tax, property, income, county, credit",consumer protection; debt collection; debt management; finance companies; loans
1798230,MD,2024,40,0.9517,"board, dental, health, license, practice",administrative agencies; medical treatments; genetics; medical testing and diagnosis; medical research; complementary and alternative medicine; covid–19; dental health; health maintenance organizations; home care services; reproductive matters; health care facilities; health planning and cost review; health supplements; hospices; hospitals; immunization; managed care organizations; medical assistance; medical technology; mental and behavioral health; pandemics; rehabilitation; smoking and vaping; substance abuse; substance abuse treatment; uncompensated care; universal health care; vision health
1839215,MD,2024,7,0.9222,"property, county, tenant, landlord, department",property
1798375,MD,2024,7,0.9608,"property, county, tenant, landlord, department",property
1813611,MD,2024,17,0.9353,"person, drug, law, health, substance",administrative agencies; medical treatments; genetics; medical testing and diagnosis; medical research; complementary and alternative medicine; covid–19; dental health; health maintenance organizations; home care services; reproductive matters; health care facilities; health planning and cost review; health supplements; hospices; hospitals; immunization; managed care organizations; medical assistance; medical technology; mental and behavioral health; pandemics; rehabilitation; smoking and vaping; substance abuse; substance abuse treatment; uncompensated care; universal health care; vision health
1797829,MD,2024,27,0.9386,"health, pharmacy, drug, prescription, board",administrative agencies; medical treatments; genetics; medical testing and diagnosis; medical research; complementary and alternative medicine; covid–19; dental health; health maintenance organizations; home care services; reproductive matters; health care facilities; health planning and cost review; health supplements; hospices; hospitals; immunization; managed care organizations; medical assistance; medical technology; mental and behavioral health; pandemics; rehabilitation; smoking and vaping; substance abuse; substance abuse treatment; uncompensated care; universal health care; vision health
1824562,MD,2024,9,0.9591,"insurance, health, insurer, policy, commissioner",motor vehicle insurance; agents and brokers; complaints.; health insurance; insurance administration; liability; maryland automobile insurance fund; property damage; workers’ compensation; administrative agencies; medical treatments; genetics; medical testing and diagnosis; medical research; complementary and alternative medicine; covid–19; dental health; health maintenance organizations; home care services; reproductive matters; health care facilities; health planning and cost review; health supplements; hospices; hospitals; immunization; managed care organizations; medical assistance; medical technology; mental and behavioral health; pandemics; rehabilitation; smoking and vaping; substance abuse; substance abuse treatment; uncompensated care; universal health care; vision health
1851462,MD,2024,1,0.9577,"business, tax, corporation, credit, department",consumer protection; debt collection; debt management; finance companies; loans
1835689,MD,2024,15,0.9723,"firearm, person, handgun, law, secretary",firearm
1837964,MD,2024,42,0.9512,"department, license, oyster, person, natural",department
1812283,MD,2024,29,0.9696,"child, court, law, department, parent",child
1827964,MD,2024,12,0.9698,"energy, electric, commission, company, public",energy
1817828,MD,2024,27,0.9658,"health, pharmacy, drug, prescription, board",administrative agencies; medical treatments; genetics; medical testing and diagnosis; medical research; complementary and alternative medicine; covid–19; dental health; health maintenance organizations; home care services; reproductive matters; health care facilities; health planning and cost review; health supplements; hospices; hospitals; immunization; managed care organizations; medical assistance; medical technology; mental and behavioral health; pandemics; rehabilitation; smoking and vaping; substance abuse; substance abuse treatment; uncompensated care; universal health care; vision health
1842167,MD,2024,29,0.9553,"child, court, law, department, parent",child
1827821,MD,2024,0,0.953,"employee, employer, employment, labor, work",employee
1826363,MD,2024,39,0.9231,"board, public, house, commission, person",board
1842188,MD,2024,25,0.9367,"electronic, person, law, information, public",electronic
1837821,MD,2024,45,0.9552,"department, water, county, environment, house","aquaculture; chesapeake bay; coastal bays; pollution; natural resources; riparian rights; rivers, streams, and lakes; swimming pools; utilities; washington suburban sanitary district; wastewater; water pollution; waterway improvement fund; wells; administrative agencies"
1798119,MD,2024,7,0.9479,"property, county, tenant, landlord, department",property
1797716,MD,2024,2,0.9567,"procurement, tax, county, law, services",plans and proposals; contracts; minority business enterprises
1839242,MD,2024,27,0.9568,"health, pharmacy, drug, prescription, board",administrative agencies; medical treatments; genetics; medical testing and diagnosis; medical research; complementary and alternative medicine; covid–19; dental health; health maintenance organizations; home care services; reproductive matters; health care facilities; health planning and cost review; health supplements; hospices; hospitals; immunization; managed care organizations; medical assistance; medical technology; mental and behavioral health; pandemics; rehabilitation; smoking and vaping; substance abuse; substance abuse treatment; uncompensated care; universal health care; vision health
1824889,MD,2024,38,0.9604,"emergency, county, public, safety, volunteer",accidents; building codes; emergencies; guns; homeland security; injury; motor vehicle inspection; occupational safety; personal protective equipment; restrictive housing; school resource officers; traffic monitoring; surveillance; traffic regulation; workplace retaliation
1798267,MD,2024,26,0.9775,"tax, property, income, county, credit",consumer protection; debt collection; debt management; finance companies; loans
1817740,MD,2024,6,0.9104,"law, police, enforcement, law enforcement, officer","arrests; bailiffs; citations; criminal charges; emergency services; interrogations; state police, department of; police conduct; police training and standards commission; school resource officers; search and seizure; service animals; sheriffs"
1838003,MD,2024,10,0.9292,"health, care, medical, health care, board",administrative agencies; medical treatments; genetics; medical testing and diagnosis; medical research; complementary and alternative medicine; covid–19; dental health; health maintenance organizations; home care services; reproductive matters; health care facilities; health planning and cost review; health supplements; hospices; hospitals; immunization; managed care organizations; medical assistance; medical technology; mental and behavioral health; pandemics; rehabilitation; smoking and vaping; substance abuse; substance abuse treatment; uncompensated care; universal health care; vision health
1835631,MD,2024,41,0.9653,"county, law, public, commission, house",county
1797891,MD,2024,5,0.971,"school, education, county, board, public","accreditation; higher education; medical schools; continuing education; curriculum; driver education; early childhood education; education, boards of; education, state board of; education, state department of; school testing; home schooling; individualized education and 504 plans; job training; literacy; maryland longitudinal data system; mentors; primary schools; teachers; private schools; public schools; remote and hybrid education; school resource officers; secondary schools; sexual matters; special education; state aid; students; textbooks"
1842219,MD,2024,2,0.9279,"procurement, tax, county, law, services",plans and proposals; contracts; minority business enterprises
1835774,MD,2024,26,0.9659,"tax, property, income, county, credit",consumer protection; debt collection; debt management; finance companies; loans
1834535,MD,2024,27,0.979,"health, pharmacy, drug, prescription, board",administrative agencies; medical treatments; genetics; medical testing and diagnosis; medical research; complementary and alternative medicine; covid–19; dental health; health maintenance organizations; home care services; reproductive matters; health care facilities; health planning and cost review; health supplements; hospices; hospitals; immunization; managed care organizations; medical assistance; medical technology; mental and behavioral health; pandemics; rehabilitation; smoking and vaping; substance abuse; substance abuse treatment; uncompensated care; universal health care; vision health
1839307,MD,2024,0,0.9453,"employee, employer, employment, labor, work",employee
1832818,MD,2024,5,0.9601,"school, education, county, board, public","accreditation; higher education; medical schools; continuing education; curriculum; driver education; early childhood education; education, boards of; education, state board of; education, state department of; school testing; home schooling; individualized education and 504 plans; job training; literacy; maryland longitudinal data system; mentors; primary schools; teachers; private schools; public schools; remote and hybrid education; school resource officers; secondary schools; sexual matters; special education; state aid; students; textbooks"
1798288,MD,2024,43,0.9523,"sports, racing, commission, fund, athletic",gaming and gambling; horses; sports and recreation
1798322,MD,2024,42,0.9469,"department, license, oyster, person, natural",department
1827899,MD,2024,45,0.9243,"department, water, county, environment, house","aquaculture; chesapeake bay; coastal bays; pollution; natural resources; riparian rights; rivers, streams, and lakes; swimming pools; utilities; washington suburban sanitary district; wastewater; water pollution; waterway improvement fund; wells; administrative agencies"
1826271,MD,2024,2,0.954,"procurement, tax, county, law, services",plans and proposals; contracts; minority business enterprises
1842130,MD,2024,0,0.9537,"employee, employer, employment, labor, work",employee
1829887,MD,2024,39,0.9651,"board, public, house, commission, person",board
1837899,MD,2024,0,0.9632,"employee, employer, employment, labor, work",employee
1837933,MD,2024,12,0.937,"energy, electric, commission, company, public",energy
1797741,MD,2024,11,0.98,"inmate, correctional, services, department, law",inmate
1810656,MD,2024,42,0.9417,"department, license, oyster, person, natural",department
1829868,MD,2024,30,0.9289,"food, program, department, health, school","clams; crabs; dietitians and nutritionists; food insecurity; meat, poultry, and seafood; milk products; oysters; restaurants; vending machines; administrative agencies; medical treatments; genetics; medical testing and diagnosis; medical research; complementary and alternative medicine; covid–19; dental health; health maintenance organizations; home care services; reproductive matters; health care facilities; health planning and cost review; health supplements; hospices; hospitals; immunization; managed care organizations; medical assistance; medical technology; mental and behavioral health; pandemics; rehabilitation; smoking and vaping; substance abuse; substance abuse treatment; uncompensated care; universal health care; vision health"
1837876,MD,2024,49,0.9453,"board, health, school, education, physical","administrative agencies; medical treatments; genetics; medical testing and diagnosis; medical research; complementary and alternative medicine; covid–19; dental health; health maintenance organizations; home care services; reproductive matters; health care facilities; health planning and cost review; health supplements; hospices; hospitals; immunization; managed care organizations; medical assistance; medical technology; mental and behavioral health; pandemics; rehabilitation; smoking and vaping; substance abuse; substance abuse treatment; uncompensated care; universal health care; vision health; accreditation; higher education; medical schools; continuing education; curriculum; driver education; early childhood education; education, boards of; education, state board of; education, state department of; school testing; home schooling; individualized education and 504 plans; job training; literacy; maryland longitudinal data system; mentors; primary schools; teachers; private schools; public schools; remote and hybrid education; school resource officers; secondary schools; sexual matters; special education; state aid; students; textbooks"
1826334,MD,2024,12,0.9688,"energy, electric, commission, company, public",energy
1827876,MD,2024,22,0.9678,"license, alcoholic, beverages, alcoholic beverages, county","alcoholic beverages – by subdivision; alcoholic beverages distribution; alcoholic beverages licenses; alcoholic beverages manufacturing; breweries; beverage containers; distilleries; drunk and drugged driving; license commissioners, boards of; substance abuse; substance abuse treatment; wineries"
1797887,MD,2024,27,0.9704,"health, pharmacy, drug, prescription, board",administrative agencies; medical treatments; genetics; medical testing and diagnosis; medical research; complementary and alternative medicine; covid–19; dental health; health maintenance organizations; home care services; reproductive matters; health care facilities; health planning and cost review; health supplements; hospices; hospitals; immunization; managed care organizations; medical assistance; medical technology; mental and behavioral health; pandemics; rehabilitation; smoking and vaping; substance abuse; substance abuse treatment; uncompensated care; universal health care; vision health
1835627,MD,2024,2,0.9487,"procurement, tax, county, law, services",plans and proposals; contracts; minority business enterprises
1838015,MD,2024,28,0.9331,"retirement, income, member, service, pension",mandatory retirement
